timestamp,session,sap_order_id,city,spi,csv_rate,submit_ms,status,message
2026-08-11T07:45:05.916Z,s1,1154937801,NAZIRPUR(MLD),1164,630,231,REJECTED_GHOST,Ghost save (attempt 1/3)
2026-08-11T07:45:05.916Z,s1,1154932649,BHARATPUR,1162,627,231,REJECTED_GHOST,Ghost save (attempt 1/3)
2026-08-11T07:45:05.916Z,s1,1154937732,TALIBPUR,1162,690,231,REJECTED_GHOST,Ghost save (attempt 1/3)
2026-08-11T07:45:06.829Z,s1,1154937801,NAZIRPUR(MLD),1164,630,205,REJECTED_GHOST,Ghost save (attempt 2/3)
2026-08-11T07:45:06.830Z,s1,1154932649,BHARATPUR,1162,627,205,REJECTED_GHOST,Ghost save (attempt 2/3)
2026-08-11T07:45:06.830Z,s1,1154937732,TALIBPUR,1162,690,205,REJECTED_GHOST,Ghost save (attempt 2/3)
2026-08-11T07:45:10.388Z,s1,1154937801,NAZIRPUR(MLD),1164,630,196,REJECTED_GHOST_MAX,SAP kept ghost-saving after 3 attempts — giving up for this window
2026-08-11T07:45:10.388Z,s1,1154932649,BHARATPUR,1162,627,196,REJECTED_GHOST_MAX,SAP kept ghost-saving after 3 attempts — giving up for this window
2026-08-11T07:45:10.388Z,s1,1154937732,TALIBPUR,1162,690,196,REJECTED_GHOST_MAX,SAP kept ghost-saving after 3 attempts — giving up for this window
2026-08-11T07:45:15.425Z,s1,1154938632,BASICMORE,1163,506,210,SAVED_TIED,Same amount has been bid by other vendor for order  id : 5575758942 and posnr: 000102#
