ts,window_boundary,boundary_ms,first_captcha_ms,latency_ms,session,captcha_flag,sample
2026-08-11T12:15:01.118Z,17:45,1786450500905,1786450501118,213,s1,X,pn423
2026-08-11T12:45:01.170Z,18:15,1786452301009,1786452301170,161,s1,X,fwme4
