ts,window_boundary,boundary_ms,first_captcha_ms,latency_ms,session,captcha_flag,sample
2026-08-11T06:19:20.351Z,11:49,,1786429160351,,s1,,w7pxm
2026-08-11T06:45:01.085Z,12:15,,1786430701085,,s1,X,7rckd
2026-08-11T07:45:01.178Z,13:15,1786434300027,1786434301178,1151,s1,X,7YB2U
2026-08-11T07:46:51.062Z,13:16,,1786434411062,,s1,,rule
2026-08-11T08:15:01.178Z,13:45,1786436100025,1786436101178,1153,s1,X,has
2026-08-11T08:16:51.006Z,13:46,,1786436211006,,s1,,xr857
2026-08-11T08:17:21.695Z,13:47,,1786436241695,,s1,,has
