ts,window_boundary,boundary_ms,first_captcha_ms,latency_ms,session,captcha_flag,sample
2026-08-11T10:15:54.476Z,15:45,1786443354285,1786443354476,191,s1,,KiLL
2026-08-11T10:17:08.148Z,15:47,,1786443428148,,s1,,w7pxm
2026-08-11T10:45:01.152Z,16:15,1786445100540,1786445101152,612,s1,X,rcke4
2026-08-11T11:15:01.139Z,16:45,1786446900709,1786446901139,430,s1,X,9w5ya
