City Code Descriptio,Special Process Indi,BIDING AMMOUNT
MEHERMA,1164,760
MEHERMA,1167,743
MEHERMA,1166,735
MIHIJAM,1164,843
MIRZACHOWKI,1164,762
MIRZACHOWKI,1166,741
MIRZACHOWKI,1167,749
MOHANPUR,1166,783
MOHANPUR,1164,810
MOHANPUR,1167,791
MASALIA,1164,693
MASALIA,1167,691
MASALIA,1166,686
MAHADEVGANJ,1167,758
MAHADEVGANJ,1164,776
MAHADEVGANJ,1166,750
MAHAGAMA,1167,770
MAHAGAMA,1166,763
MAHAGAMA,1164,785
MUGMA,1164,817
NALA,1164,829
NARAYANPUR,1164,843
NIRSA,1164,824
NARAINI,1167,765
NARAINI,1166,758
NARAINI,1164,783
NASIBPUR,1164,489
NASIBPUR,1167,483
NASIBPUR,1166,478
PAKUR,1167,480
PAKUR,1164,485
PAKUR,1166,475
PAKURIA,1166,484
PAKURIA,1164,494
PAKURIA,1167,489
PALAJORI,1166,751
PALAJORI,1167,756
PALAJORI,1164,760
PATHARGAMA,1166,733
PATHARGAMA,1164,754
PATHARGAMA,1167,741
PORIYAHAT,1166,737
PORIYAHAT,1164,757
PORIYAHAT,1167,745
PINARGARIA,1166,407
PINARGARIA,1164,416
PINARGARIA,1167,411
PABIA,1164,843
PATABARI,1167,639
PATABARI,1166,634
PATABARI,1164,644
PIARPUR,1167,607
PIARPUR,1166,601
PIARPUR,1164,616
PATHNA,1166,601
PATHNA,1164,616
PATHNA,1167,607
RAJMAHAL,1164,676
RAJMAHAL,1166,666
RAJMAHAL,1167,671
RANESHWAR,1164,486
RANESHWAR,1167,483
RANESHWAR,1166,478
RANIBAHAL,1166,525
RANIBAHAL,1167,530
RANIBAHAL,1164,533
RAMGARH ( DEOGRH),1164,687
RAMGARH ( DEOGRH),1167,685
RAMGARH ( DEOGRH),1166,680
RAMNAGAR,1164,616
RAMNAGAR,1166,601
RAMNAGAR,1167,607
SAHEBGANJ,1164,663
SAHEBGANJ,1167,653
SAHEBGANJ,1166,646
SARAT,1167,765
SARAT,1166,758
SARAT,1164,782
SARAUNI,1166,722
SARAUNI,1167,729
SARAUNI,1164,744
SARAWAN,1164,787
SARAWAN,1166,765
SARAWAN,1167,772
SHIKARIPARA,1167,548
SHIKARIPARA,1166,543
SHIKARIPARA,1164,551
SUNDAR PAHARI,1166,717
SUNDAR PAHARI,1167,724
SUNDAR PAHARI,1164,740
SARASDANGAL,1166,450
SARASDANGAL,1164,458
SARASDANGAL,1167,455
SAGARBHANGA,1167,530
SAGARBHANGA,1166,523
SAGARBHANGA,1164,535
SAHARGAON,1164,543
SAHARGAON,1166,533
SAHARGAON,1167,538
SIRASING,1164,480
SIRASING,1166,470
SIRASING,1167,475
TALJHARI,1166,618
TALJHARI,1167,624
TALJHARI,1164,634
THAKUR GHANTI,1166,748
THAKUR GHANTI,1167,755
THAKUR GHANTI,1164,771
TINPAHAR,1166,749
TINPAHAR,1164,775
TINPAHAR,1167,757
TORAI,1164,509
TORAI,1167,503
TORAI,1166,498
TONGRA,1164,639
TONGRA,1167,631
TONGRA,1166,621
UDHWA,1164,615
UDHWA,1167,610
UDHWA,1166,606
21 MILE,1166,607
21 MILE,1164,614
21 MILE,1167,612
3 MILE,1164,1064
3 MILE,1167,1060
3 MILE,1166,1055
RAJBARI - STO,1167,387
RAJBARI - STO,1166,385
RAJBARI - STO,1164,389
BURDWAN - STO,1164,742
KRISHNANAGAR - STO,1167,660
KRISHNANAGAR - STO,1166,658
KRISHNANAGAR - STO,1164,663
MALDA - STO,1166,529
MALDA - STO,1167,531
MALDA - STO,1164,535
RAKSHAKALITALA - STO,1164,503
RAKSHAKALITALA - STO,1167,500
RAKSHAKALITALA - STO,1166,498
SILIGURI - STO,1166,1061
SILIGURI - STO,1164,1058
SILIGURI - STO,1167,1066
COSSIPORE-21B RLYS R,1164,944
ARAMBAGH - STO,1164,847
COSSIPORE-3 RLYS - S,1164,944
RAMPUR-STO,1167,905
RAMPUR-STO,1166,892
RAMPUR-STO,1164,921
SILIGURI NT -STO,1164,1058
SILIGURI NT -STO,1166,1061
SILIGURI NT -STO,1167,1066
BERHAMPORE -T1-STO,1164,408
BERHAMPORE -T1-STO,1166,406
BERHAMPORE -T1-STO,1167,407
BERHAMPORE-T2-STO,1166,406
BERHAMPORE-T2-STO,1167,407
BERHAMPORE-T2-STO,1164,408
MALDA-T1-STO,1166,546
MALDA-T1-STO,1164,549
MALDA-T1-STO,1167,548
MALDA-T2-STO,1164,549
MALDA-T2-STO,1166,546
MALDA-T2-STO,1167,548
MALDA-T3-STO,1164,549
MALDA-T3-STO,1167,548
MALDA-T3-STO,1166,546
SAINTHIA -T1-STO,1164,503
SAINTHIA -T1-STO,1167,500
SAINTHIA -T1-STO,1166,498
SAINTHIA -T2-STO,1167,500
SAINTHIA -T2-STO,1166,498
SAINTHIA -T2-STO,1164,503
SAINTHIA -T4-STO,1166,498
SAINTHIA -T4-STO,1164,503
SAINTHIA -T4-STO,1167,500
SILIGURI -T1-STO,1167,1066
SILIGURI -T1-STO,1166,1061
SILIGURI -T1-STO,1164,1052
SILIGURI -T2-STO,1166,1061
SILIGURI -T2-STO,1164,1058
SILIGURI -T2-STO,1167,1066
SILIGURI -T4-STO,1164,1058
SILIGURI -T4-STO,1167,1066
SILIGURI -T4-STO,1166,1061
SONAR BANGLA HUB - S,1166,48
SONAR BANGLA HUB - S,1167,48
SONAR BANGLA HUB - S,1164,48
RAIGANJ - STO,1164,710
RAIGANJ - STO,1167,700
RAIGANJ - STO,1166,690
Gangarampur - STO,1167,710
Gangarampur - STO,1166,692
Gangarampur - STO,1164,710
BG KRISHNANAGAR -STO,1164,663
BG KRISHNANAGAR -STO,1167,660
BG KRISHNANAGAR -STO,1166,658
BG SAINTHIA 1 -STO,1164,503
BG SAINTHIA 1 -STO,1167,500
BG SAINTHIA 1 -STO,1166,498
BG SAINTHIA 2 -STO,1164,503
BG SAINTHIA 2 -STO,1166,498
BG SAINTHIA 2 -STO,1167,500
BG SAINTHIA 3 -STO,1167,500
BG SAINTHIA 3 -STO,1166,498
BG SAINTHIA 3 -STO,1164,503
BG SILIGURI 1 -STO,1166,1061
BG SILIGURI 1 -STO,1167,1066
BG SILIGURI 1 -STO,1164,1058
BG SILIGURI 2 -STO,1167,1066
BG SILIGURI 2 -STO,1166,1061
BG SILIGURI 2 -STO,1164,1058
BERHAMPORE-T3-STO,1166,406
BERHAMPORE-T3-STO,1167,407
BERHAMPORE-T3-STO,1164,408
BERHAMPORE-T4-STO,1167,407
BERHAMPORE-T4-STO,1164,408
BERHAMPORE-T4-STO,1166,406
BERHAMPORE-T5-STO,1167,407
BERHAMPORE-T5-STO,1166,406
BERHAMPORE-T5-STO,1164,408
BERHAMPORE-T6-STO,1166,406
BERHAMPORE-T6-STO,1164,408
BERHAMPORE-T6-STO,1167,407
BERHAMPORE-T7-STO,1166,406
BERHAMPORE-T7-STO,1164,408
BERHAMPORE-T7-STO,1167,407
BERHAMPORE-T8-STO,1164,408
BERHAMPORE-T8-STO,1167,407
BERHAMPORE-T8-STO,1166,406
BG MALDA 2 -STO,1164,549
BG MALDA 2 -STO,1167,548
BG MALDA 2 -STO,1166,546
BG MALDA 3 -STO,1166,546
BG MALDA 3 -STO,1164,549
BG MALDA 3 -STO,1167,548
KRISHNANAGAR-T4-STO,1164,538
KRISHNANAGAR-T4-STO,1166,529
KRISHNANAGAR-T4-STO,1167,533
MALDA-T4-STO,1167,548
MALDA-T4-STO,1166,546
MALDA-T4-STO,1164,549
BG BERHAMPORE 3 - ST,1164,395
BG BERHAMPORE 3 - ST,1166,386
BG BERHAMPORE 3 - ST,1167,391
BG BERHAMPORE 4 - ST,1164,395
BG BERHAMPORE 4 - ST,1167,391
BG BERHAMPORE 4 - ST,1166,386
BG BURDWAN -STO,1164,742
BG DALKHOLA 1 -STO,1166,838
BG DALKHOLA 1 -STO,1167,838
BG DALKHOLA 1 -STO,1164,842
BG DALKHOLA 3 -STO,1164,910
BG DALKHOLA 3 -STO,1167,906
BG DALKHOLA 3 -STO,1166,904
BG DALKHOLA 3 -STO,1167,906
BG DALKHOLA 3 -STO,1166,904
BG DALKHOLA 3 -STO,1164,910
BG DALKHOLA 5 -STO,1164,910
BG DALKHOLA 5 -STO,1166,904
BG DALKHOLA 5 -STO,1167,906
BG MALDA 1 -STO,1166,529
BG MALDA 1 -STO,1164,535
BG MALDA 1 -STO,1167,531
BG DALKHOLA 2 - STO,1167,906
BG DALKHOLA 2 - STO,1166,904
BG DALKHOLA 2 - STO,1164,910
SAINTHIA-T5-STO,1166,498
SAINTHIA-T5-STO,1167,500
SAINTHIA-T5-STO,1164,503
SAINTHIA-T6-STO,1164,503
SAINTHIA-T6-STO,1166,498
SAINTHIA-T6-STO,1167,500
SAINTHIA-T7-STO,1166,498
SAINTHIA-T7-STO,1167,500
SAINTHIA-T7-STO,1164,503
SAINTHIA-T8-STO,1167,500
SAINTHIA-T8-STO,1166,498
SAINTHIA-T8-STO,1164,503
BG BERHAMPORE 1 -STO,1167,406
BG BERHAMPORE 1 -STO,1164,410
BG BERHAMPORE 1 -STO,1166,405
BG BERHAMPORE 2 -STO,1166,406
BG BERHAMPORE 2 -STO,1164,408
BG BERHAMPORE 2 -STO,1167,407
BG SAINTHIA 4 - STO,1166,498
BG SAINTHIA 4 - STO,1167,500
BG SAINTHIA 4 - STO,1164,503
BG SILIGURI 4,1167,1051
BG SILIGURI 4,1166,1046
BG SILIGURI 4,1164,1390
BERHAMPORE T9 - STO,1167,343
BERHAMPORE T9 - STO,1164,343
BERHAMPORE T9 - STO,1166,343
CHANCHAL-STO,1166,648
CHANCHAL-STO,1164,700
CHANCHAL-STO,1167,672
ABADANGA,1167,593
ABADANGA,1164,595
ABADANGA,1166,588
AGARPARA,1164,819
AGRADEEP,1164,513
AGRADWIP,1167,669
AGRADWIP,1166,664
AGRADWIP,1164,671
AHAMMADPUR,1164,542
AHAMMADPUR,1166,534
AHAMMADPUR,1167,539
AHIRON / AJGARPARA,1166,250
AHIRON / AJGARPARA,1167,253
AHIRON / AJGARPARA,1164,256
AIHYO,1164,590
AIHYO,1166,583
AIHYO,1167,588
AISHMALI,1167,830
AISHMALI,1164,832
AISHMALI,1166,825
AISHTALA,1166,780
AISHTALA,1164,787
AISHTALA,1167,785
AJAPUR,1164,723
AKAIPUR,1167,849
AKAIPUR,1164,850
AKAIPUR,1166,844
ALINAGOR,1164,582
ALINAGOR,1167,580
ALINAGOR,1166,575
ALIPORE,1164,925
ALUGRAM,1164,537
ALUGRAM,1166,529
ALUGRAM,1167,534
AMAIPARA,1164,291
AMAIPARA,1166,281
AMAIPARA,1167,286
AMARUN,1164,659
AMDAHARA,1164,595
AMDAHARA,1167,593
AMDAHARA,1166,588
AMLAI,1167,471
AMLAI,1166,466
AMLAI,1164,474
AMRAGARH,1164,764
AMTA,1164,887
AMTALA (BELDANGA),1164,463
AMTALA (BELDANGA),1166,455
AMTALA (BELDANGA),1167,459
ANARA,1164,819
ANDAL,1164,642
ANDI,1166,427
ANDI,1167,432
ANDI,1164,435
ANDULIA,1164,671
ANDULIA,1167,669
ANDULIA,1166,664
ANGARGORIA,1167,539
ANGARGORIA,1164,542
ANGARGORIA,1166,534
ANKHONA,1164,540
ANKONA,1166,634
ANKONA,1164,642
ANKONA,1167,639
ANTARDWIPA,1167,419
ANTARDWIPA,1166,414
ANTARDWIPA,1164,422
ANULIA,1164,734
ANULIA,1167,732
ANULIA,1166,727
ANUPPUR,1167,200
ANUPPUR,1166,196
ANUPPUR,1164,200
ARAMBAG LINK ROAD,1164,783
ARAMBAGH,1164,793
ARANGHATA,1164,787
ARANGHATA,1167,785
ARANGHATA,1166,780
ARBANDI,1167,664
ARBANDI,1164,666
ARBANDI,1166,659
ARIADAHA,1164,878
ARKAMA,1164,858
ARSHA,1164,941
ASANNAGAR,1166,702
ASANNAGAR,1167,707
ASANNAGAR,1164,709
ASANSOL,1164,725
ASHACHIA,1164,615
ASHACHIA,1167,612
ASHACHIA,1166,608
ASHAURU (HELANCHA),1167,785
ASHAURU (HELANCHA),1164,787
ASHAURU (HELANCHA),1166,780
AURANGABAD,1166,378
AURANGABAD,1164,386
AURANGABAD,1167,383
AUSHGRAM,1164,704
AUSHGRAM-2,1164,664
AWALSIDDHI,1164,782
AYAS,1167,345
AYAS,1166,340
AYAS,1164,349
AZIMGANJ / MAHINAGAR,1164,380
AZIMGANJ / MAHINAGAR,1167,377
AZIMGANJ / MAHINAGAR,1166,372
AZIMGUNJ,1166,387
AZIMGUNJ,1164,396
AZIMGUNJ,1167,392
ADRAHATI,1164,825
ALAMGANG,1164,693
ALAMPUR,1164,740
ANANDANAGAR,1167,808
ANANDANAGAR,1164,810
ANANDANAGAR,1166,803
AREPARA,1167,808
AREPARA,1166,803
AREPARA,1164,810
ATAGARH,1164,704
AJODHYA,1164,850
AMARKANAN,1164,764
ADINA,1167,678
ADINA,1166,673
